seed,steps,max_value,steps_to_max,has_diverged,entropy,divergence_rate,values,z_score_steps,z_score_peak,iqr_outlier,is_anomaly
381,69,4616,44,False,0.0,0.0,[],1.8789385442471773,0.6744907594376883,False,False
382,31,2186,7,False,0.0,0.0,[],0.04817791139095327,0.24347180732876356,False,False
383,31,6560,7,False,0.0,0.0,[],0.04817791139095327,0.8771891396979918,False,True
384,12,384,0,False,0.0,0.0,[],-0.8672024050371587,-0.758514124181651,False,False
385,23,578,1,False,0.0,0.0,[],-0.33724537973667285,-0.5231315834992777,False,False
386,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
387,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
388,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
389,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
390,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
391,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
392,20,392,0,False,0.0,0.0,[],-0.48177911390953265,-0.7466507883168219,False,False
393,39,1124,8,False,0.0,0.0,[],0.43360120251857937,-0.13997751989461432,False,True
394,20,394,0,False,0.0,0.0,[],-0.48177911390953265,-0.743722688757742,False,False
395,50,4616,25,False,0.0,0.0,[],0.9635582278190653,0.6744907594376883,False,False
396,20,396,0,False,0.0,0.0,[],-0.48177911390953265,-0.7408093776433029,False,False
397,20,596,1,False,0.0,0.0,[],-0.48177911390953265,-0.5054720091952463,False,False
398,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
399,77,4616,52,False,0.0,0.0,[],2.2643618353748036,0.6744907594376883,False,False
400,20,400,0,False,0.0,0.0,[],-0.48177911390953265,-0.7350265284636845,False,False
401,15,602,1,False,0.0,0.0,[],-0.722668670864299,-0.49970361737983604,False,False
402,15,512,6,False,0.0,0.0,[],-0.722668670864299,-0.5929439053007681,False,False
403,15,908,2,False,0.0,0.0,[],-0.722668670864299,-0.26295469787026604,False,False
404,20,404,0,False,0.0,0.0,[],-0.48177911390953265,-0.7293010782380002,False,False
405,20,608,1,False,0.0,0.0,[],-0.48177911390953265,-0.49399233929248726,False,False
406,28,458,3,False,0.0,0.0,[],-0.09635582278190653,-0.6571026749596957,False,False
407,28,1376,3,False,0.0,0.0,[],-0.09635582278190653,-0.0233853425904679,False,False
408,20,408,0,False,0.0,0.0,[],-0.48177911390953265,-0.7236318987037652,False,False
409,28,692,4,False,0.0,0.0,[],-0.09635582278190653,-0.41945857098411593,False,False
410,20,410,0,False,0.0,0.0,[],-0.48177911390953265,-0.7208180669069283,False,False
411,85,4616,60,False,0.0,0.0,[],2.6497851265024295,0.6744907594376883,False,False
412,58,4616,33,False,0.0,0.0,[],1.3489815189466914,0.6744907594376883,False,False
413,58,4616,33,False,0.0,0.0,[],1.3489815189466914,0.6744907594376883,False,False
414,58,4616,33,False,0.0,0.0,[],1.3489815189466914,0.6744907594376883,False,False
415,85,4616,60,False,0.0,0.0,[],2.6497851265024295,0.6744907594376883,False,False
416,12,416,0,False,0.0,0.0,[],-0.8672024050371587,-0.7124580021046991,False,False
417,85,4616,60,False,0.0,0.0,[],2.6497851265024295,0.6744907594376883,False,False
418,28,418,0,False,0.0,0.0,[],-0.09635582278190653,-0.7096980237554777,False,False
419,28,944,2,False,0.0,0.0,[],-0.09635582278190653,-0.24055054691298122,False,False
420,28,420,0,False,0.0,0.0,[],-0.09635582278190653,-0.7069511882100894,False,False
421,28,632,1,False,0.0,0.0,[],-0.09635582278190653,-0.47169644796570254,False,False
422,28,476,3,False,0.0,0.0,[],-0.09635582278190653,-0.634914001918445,False,False
423,23,1610,6,False,0.0,0.0,[],-0.33724537973667285,0.06714759216685483,False,False
424,12,424,0,False,0.0,0.0,[],-0.8672024050371587,-0.701496448985538,False,False
425,39,4616,14,False,0.0,0.0,[],0.43360120251857937,0.6744907594376883,False,False
426,12,426,0,False,0.0,0.0,[],-0.8672024050371587,-0.6987883014078713,False,False
427,36,1376,11,False,0.0,0.0,[],0.28906746834571956,-0.0233853425904679,False,False
428,66,4616,41,False,0.0,0.0,[],1.7344048100743175,0.6744907594376883,False,False
429,66,4616,41,False,0.0,0.0,[],1.7344048100743175,0.6744907594376883,False,False
430,66,4616,41,False,0.0,0.0,[],1.7344048100743175,0.6744907594376883,False,False
431,28,2186,4,False,0.0,0.0,[],-0.09635582278190653,0.24347180732876356,False,False
432,74,4616,49,False,0.0,0.0,[],2.1198281012019438,0.6744907594376883,False,False
433,20,650,1,False,0.0,0.0,[],-0.48177911390953265,-0.45552246199794777,False,False
434,20,434,0,False,0.0,0.0,[],-0.48177911390953265,-0.6880810914458131,False,False
435,20,980,2,False,0.0,0.0,[],-0.48177911390953265,-0.2189841332357591,False,False
436,74,4616,49,False,0.0,0.0,[],2.1198281012019438,0.6744907594376883,False,False
437,74,4616,49,False,0.0,0.0,[],2.1198281012019438,0.6744907594376883,False,False
438,36,836,7,False,0.0,0.0,[],0.28906746834571956,-0.31055566095373804,False,False
439,36,1484,3,False,0.0,0.0,[],0.28906746834571956,0.020170009231786502,False,False
440,74,4616,49,False,0.0,0.0,[],2.1198281012019438,0.6744907594376883,False,False
441,20,746,4,False,0.0,0.0,[],-0.48177911390953265,-0.3761756964340592,False,False
